opeid,instnm,city,stabbr,insturl,adm_rate,sat_avg,grad_debt_mdn,inexpfte,pftfac,locale,ugds_white,c150_4,adm_rate_rank,sat_avg_rank,c150_4_rank,pftfac_rank,ugds_white_rank,inexpfte_rank,grad_debt_mdn_rank
117000,Claremont McKenna College,Claremont,CA,www.cmc.edu,0.1077,1419,13500,25915,0.9126,21,0.4277,0.9031,-28354,-27031,-20198,-9158,-8400,-17577,-22294
292000,Duke University,Durham,NC,WWW.DUKE.EDU,0.1141,1454,7500,50756,0.9447,12,0.4775,0.9485,-28020,-29683,-22813,-10532,-6110,-45879,-35547
257300,Dartmouth College,Hanover,NH,www.dartmouth.edu,0.115,1444,12000,25102,0.7964,33,0.4804,0.9516,-27973,-28926,-22992,-4185,-5977,-16651,-25607
3946300,Franklin W Olin College of Engineering,Needham,MA,www.olin.edu,0.12,1475,16125,30582,0.7593,21,0.5599,0.9467,-27712,-31275,-22710,-2597,-2320,-22895,-16496
117300,Pomona College,Claremont,CA,www.pomona.edu,0.1219,1454,9788,37082,0.9712,21,0.4269,0.9267,-27613,-29683,-21557,-11666,-8437,-30300,-30493
353500,Vanderbilt University,Nashville,TN,www.vanderbilt.edu,0.1309,1481,13000,79372,0.8207,11,0.5826,0.9286,-27143,-31730,-21667,-5225,-1276,-78483,-23399
173900,Northwestern University,Evanston,IL,www.northwestern.edu,0.1311,1461,18900,37339,0.8196,13,0.5263,0.9331,-27133,-30214,-21926,-5178,-3866,-30593,-10367
211500,Amherst College,Amherst,MA,www.amherst.edu,0.1384,1439,11706,25196,0.8988,21,0.4191,0.9406,-26752,-28547,-22358,-8567,-8796,-16758,-26257
271100,Cornell University,Ithaca,NY,www.cornell.edu,0.1419,1422,12034.5,23818,0.9053,13,0.4209,0.932,-26569,-27258,-21863,-8846,-8713,-15188,-25531
117100,Harvey Mudd College,Claremont,CA,https://www.hmc.edu,0.1425,1500,26000,30078,0.8796,21,0.4389,0.901,-26538,-33169,-20077,-7746,-7885,-22320,5315
271000,Cooper Union for the Advancement of Science and Art,New York,NY,www.cooper.edu,0.1506,1388,18250,21635,1,11,0.3333,0.839,-26115,-24682,-16505,-12899,-12742,-12701,-11803
360400,Rice University,Houston,TX,www.rice.edu,0.151,1460,9641.5,40056,0.7844,11,0.3794,0.915,-26094,-30138,-20883,-3671,-10622,-33689,-30817
131200,University of California-Berkeley,Berkeley,CA,www.berkeley.edu,0.1602,1382,14200,18988,0.7115,12,0.2758,0.9069,-25614,-24227,-20417,-551,-15387,-9685,-20748
207700,Johns Hopkins University,Baltimore,MD,www.jhu.edu,0.1608,1439,16250,77339,0.8777,11,0.4516,0.9308,-25583,-28547,-21794,-7664,-7301,-76166,-16220
242400,Mississippi Valley State University,Itta Bena,MS,www.mvsu.edu,0.1633,825,30362.5,8966,0.7628,33,0.0303,0.2982,-25452,17985,14647,-2747,-26678,1733,14950
337000,Swarthmore College,Swarthmore,PA,www.swarthmore.edu,0.1702,1433,18100,32124,0.8745,21,0.4183,0.9409,-25092,-28092,-22375,-7527,-8833,-24651,-12134
252000,Washington University in St Louis,Saint Louis,MO,www.wustl.edu,0.1713,1478,20500,105933,0.6222,21,0.5539,0.9496,-25035,-31502,-22877,3271,-2596,-108744,-6833
369100,Middlebury College,Middlebury,VT,www.middlebury.edu,0.1717,1379,17500,24640,0.8709,32,0.6501,0.941,-25014,-24000,-22381,-7373,1828,-16125,-13459
221900,Tufts University,Medford,MA,www.tufts.edu,0.1724,1423,18000,21543,0.6495,21,0.575,0.923,-24978,-27334,-21344,2102,-1626,-12596,-12355
144500,Georgetown University,Washington,DC,www.georgetown.edu,0.1735,1414,17000,31102,0.5175,11,0.5813,0.9491,-24920,-26652,-22848,7752,-1336,-23487,-14564
132800,University of Southern California,Los Angeles,CA,www.usc.edu/,0.1802,1380,21500,43170,0.5714,11,0.3644,0.9084,-24571,-24075,-20503,5445,-11312,-37237,-4624
131500,University of California-Los Angeles,Los Angeles,CA,www.ucla.edu/,0.1856,1330,16126,40020,0.6872,11,0.2784,0.9098,-24289,-20286,-20584,489,-15267,-33648,-16494
222900,Williams College,Williamstown,MA,www.williams.edu,0.1932,1452,13211.5,39712,0.8231,31,0.5557,0.9535,-23892,-29532,-23101,-5328,-2513,-33297,-22931
376800,Washington and Lee University,Lexington,VA,www.wlu.edu/,0.1946,1395,21500,31496,0.7434,32,0.8298,0.8767,-23819,-25212,-18677,-1916,10093,-23936,-4624
202600,Southern University at New Orleans,New Orleans,LA,www.suno.edu,0.207,806,23590,5681,0.7651,11,0.0223,0.1172,-23172,19425,25074,-2845,-27046,5476,-8
184000,University of Notre Dame,Notre Dame,IN,www.nd.edu,0.2114,1450,21250,26632,0.8777,21,0.7067,0.9573,-22942,-29380,-23320,-7664,4432,-18394,-5177
291800,Davidson College,Davidson,NC,www.davidson.edu/,0.2167,1337,16385,19228,0.9624,21,0.6907,0.9271,-22666,-20817,-21581,-11289,3696,-9959,-15922
158700,Paine College,Augusta,GA,www.paine.edu,0.2181,760,38185,13491,0.6883,12,0.0214,0.1777,-22593,22911,21589,442,-27087,-3422,32228
2053000,Liberty University,Lynchburg,VA,www.liberty.edu,0.2232,1040,23250,2350,0.6263,13,0.5121,0.5041,-22326,1691,2786,3095,-4519,9271,-759
234000,Carleton College,Northfield,MN,www.carleton.edu,0.2277,1408,17500,26922,0.908,32,0.6499,0.9303,-22092,-26197,-21765,-8961,1819,-18725,-13459
289500,Vassar College,Poughkeepsie,NY,www.vassar.edu,0.2354,1403,16725,29919,0.8413,21,0.5885,0.9185,-21690,-25818,-21085,-6106,-1005,-22139,-15171
270800,Barnard College,New York,NY,www.barnard.edu,0.2377,1343,16725,21263,0.6331,11,0.5501,0.8885,-21570,-21271,-19357,2804,-2771,-12277,-15171
376600,Virginia Union University,Richmond,VA,www.vuu.edu,0.2389,776,33450,6339,0.6173,12,0.0023,0.2551,-21507,21698,17130,3480,-27966,4726,21770
3982300,Visible Music College,Memphis,TN,www.visible.edu,0.2398,1031,25625,20566,0.9444,11,0.6696,0.5,-21460,2373,3023,-10519,2725,-11483,4486
156600,Fort Valley State University,Fort Valley,GA,www.fvsu.edu,0.2419,873,36250,5226,0.9224,31,0.0373,0.3175,-21351,14347,13536,-9577,-26356,5994,27954
301100,Art Academy of Cincinnati,Cincinnati,OH,www.artacademy.edu,0.2434,961,27000,5809,0.1818,11,0.7761,0.617,-21272,7678,-3717,22119,7623,5330,7523
324200,Carnegie Mellon University,Pittsburgh,PA,www.cmu.edu/,0.246,1436,25250,31807,0.9375,11,0.3538,0.883,-21137,-28319,-19040,-10224,-11799,-24290,3658
327400,Haverford College,Haverford,PA,www.haverford.edu,0.2469,1422,14000,28622,0.8538,21,0.6436,0.9419,-21090,-27258,-22433,-6641,1529,-20662,-21190
306500,Kenyon College,Gambier,OH,www.kenyon.edu/,0.2506,1332,19000,22319,0.9626,32,0.7371,0.8923,-20897,-20438,-19576,-11298,5830,-13480,-10146
884800,Warner University,Lake Wales,FL,www.warner.edu,0.26,863,23250,3151,0.3386,41,0.3788,0.3767,-20406,15105,10125,15408,-10649,8358,-759
270100,Colgate University,Hamilton,NY,www.colgate.edu,0.2624,1369,16114.5,22975,1,32,0.6723,0.924,-20281,-23242,-21402,-12899,2849,-14228,-16520
212100,Babson College,Wellesley,MA,www.babson.edu,0.2631,1272,27000,14110,0.7192,21,0.3863,0.9028,-20244,-15891,-20181,-881,-10305,-4128,7523
272800,Hamilton College,Clinton,NY,www.hamilton.edu,0.2635,1393,15300,30436,0.8941,41,0.6423,0.9111,-20223,-25061,-20659,-8366,1470,-22728,-18319
3088800,Watkins College of Art Design & Film,Nashville,TN,www.watkins.edu,0.2636,1000,29125,10380,0.3393,11,0.6979,0.4,-20218,4723,8783,15378,4027,122,12217
156400,Emory University,Atlanta,GA,www.emory.edu,0.2682,1366,19000,40450,0.6659,21,0.4072,0.8892,-19978,-23014,-19397,1400,-9343,-34138,-10146
329000,Lincoln University,Lincoln University,PA,www.lincoln.edu,0.2716,862,31326.5,8047,1,21,0.014,0.4146,-19801,15181,7942,-12899,-27428,2780,17080
727300,CUNY Bernard M Baruch College,New York,NY,www.baruch.cuny.edu,0.279,1235,11000,8733,0.4467,11,0.2503,0.656,-19414,-13087,-5964,10782,-16560,1999,-27816
202900,Tulane University of Louisiana,New Orleans,LA,tulane.edu,0.2795,1342,27000,21627,0.5755,11,0.7138,0.8293,-19388,-21196,-15947,5269,4758,-12692,7523
186800,Grinnell College,Grinnell,IA,www.grinnell.edu,0.2801,1398,10876.5,23944,0.8402,33,0.5844,0.8939,-19357,-25439,-19668,-6059,-1193,-15332,-28089
203900,Colby College,Waterville,ME,www.colby.edu,0.2805,1333,19195.5,19918,0.8296,33,0.601,0.9046,-19336,-20513,-20284,-5606,-430,-10745,-9714
710800,University of Puerto Rico-Rio Piedras,San Juan,PR,www.uprrp.edu,0.2817,1188,5500,12073,0.8747,11,0.0074,0.4698,-19274,-9525,4762,-7536,-27731,-1807,-39964
117400,Scripps College,Claremont,CA,www.scrippscollege.edu,0.284,1360,13749.5,28832,0.7168,21,0.4906,0.8685,-19154,-22560,-18205,-778,-5508,-20901,-21743
238300,Crown College,Saint Bonifacius,MN,www.crown.edu,0.284,1016,26259,3426,0.3056,41,0.7452,0.5714,-19154,3510,-1090,16821,6202,8045,5887
297400,University of North Carolina at Chapel Hill,Chapel Hill,NC,www.unc.edu,0.285,1328,16149,25710,0.8499,13,0.6517,0.9026,-19101,-20135,-20169,-6475,1902,-17344,-16443
702200,CUNY Lehman College,Bronx,NY,www.lehman.cuny.edu,0.2891,995,10000,9882,0.4649,11,0.0691,0.3708,-18887,5102,10465,10003,-24893,689,-30025
374500,University of Virginia-Main Campus,Charlottesville,VA,www.virginia.edu/,0.29,1357,19633,16988,0.937,23,0.6117,0.9416,-18840,-22332,-22416,-10202,62,-7407,-8748
371400,Hampton University,Hampton,VA,www.hamptonu.edu,0.2906,999,27000,8563,1,12,0.0246,0.6647,-18809,4798,-6465,-12899,-26940,2192,7523
328400,Lafayette College,Easton,PA,https://www.lafayette.edu/,0.2975,1300,25185,21109,0.8526,21,0.6819,0.9033,-18449,-18013,-20210,-6590,3291,-12102,3515
169400,Chicago State University,Chicago,IL,www.csu.edu,0.2996,870,30269,15606,0.7487,11,0.0232,0.1915,-18339,14575,20794,-2143,-27005,-5832,14744
222400,Wellesley College,Wellesley,MA,www.wellesley.edu,0.3011,1390,9000,34705,0.8564,21,0.4153,0.9144,-18261,-24833,-20849,-6753,-8971,-27592,-32234
323800,Bucknell University,Lewisburg,PA,www.bucknell.edu,0.3072,1317,27000,20198,0.9766,32,0.7885,0.886,-17943,-19301,-19213,-11897,8194,-11064,7523
114300,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,calpoly.edu,0.3089,1234,19166,9610,0.6649,23,0.5872,0.75,-17854,-13011,-11379,1443,-1065,999,-9780
125200,Hope International University,Fullerton,CA,www.hiu.edu,0.31,896,26000,6137,0.8444,21,0.3799,0.4943,-17797,12604,3351,-6239,-10599,4956,5315
339600,Wilson College,Chambersburg,PA,www.wilson.edu,0.3128,976,27000,10092,0.94,13,0.6376,0.4138,-17651,6542,7988,-10331,1253,450,7523
374400,University of Richmond,University of Richmond,VA,www.richmond.edu,0.318,1337,19935,16287,0.6634,12,0.5901,0.8426,-17379,-20817,-16713,1507,-931,-6608,-8081
219900,Northeastern University,Boston,MA,www.northeastern.edu,0.3222,1420,28501,15593,0.7385,11,0.4913,0.8162,-17160,-27107,-15192,-1707,-5475,-5817,10839
232500,University of Michigan-Ann Arbor,Ann Arbor,MI,www.umich.edu,0.3224,1380,20495.5,22728,0.8135,12,0.6196,0.9087,-17150,-24075,-20521,-4917,426,-13946,-6843
381900,Ohio Valley University,Vienna,WV,www.ovu.edu,0.3235,944,23250,5986,0.2558,13,0.6615,0.3465,-17092,8967,11865,18952,2353,5128,-759
340900,Rhode Island School of Design,Providence,RI,www.risd.edu,0.3259,1254,27000,23184,0.3348,12,0.3193,0.8716,-16967,-14527,-18383,15571,-13386,-14466,7523
308600,Oberlin College,Oberlin,OH,www.oberlin.edu,0.3272,1349,26000,28894,0.9122,31,0.6977,0.8781,-16899,-21726,-18758,-9141,4018,-20971,5315
370500,College of William and Mary,Williamsburg,VA,www.wm.edu,0.3302,1373,19500,13546,0.8231,23,0.5895,0.9044,-16743,-23545,-20273,-5328,-959,-3485,-9042
342900,Columbia International University,Columbia,SC,www.ciu.edu,0.3322,1035,20750,6594,0.9231,12,0.721,0.6786,-16638,2070,-7266,-9607,5089,4436,-6281
131700,University of California-San Diego,La Jolla,CA,www.ucsd.edu,0.3329,1313,19000,24195,0.8368,11,0.2247,0.8618,-16602,-18998,-17819,-5914,-17737,-15618,-10146
156900,Georgia Institute of Technology-Main Campus,Atlanta,GA,www.gatech.edu,0.3338,1400,24250,13216,0.9686,11,0.5308,0.8154,-16555,-25591,-15146,-11555,-3659,-3109,1449
195500,Berea College,Berea,KY,www.berea.edu,0.3366,1125,6056,14851,0.8586,32,0.6278,0.6223,-16409,-4750,-4022,-6847,803,-4972,-38736
212800,Boston College,Chestnut Hill,MA,www.bc.edu,0.3391,1380,19000,20571,0.5956,13,0.6075,0.9131,-16278,-24075,-20774,4409,-131,-11489,-10146
328900,Lehigh University,Bethlehem,PA,www.lehigh.edu,0.3427,1326,25000,20469,0.8161,13,0.6736,0.8739,-16090,-19983,-18516,-5028,2909,-11373,3106
115100,San Diego State University,San Diego,CA,www.sdsu.edu,0.3448,1115,15998,6812,0.5229,11,0.3501,0.6599,-15981,-3992,-6188,7521,-11969,4187,-16777
213000,Boston University,Boston,MA,www.bu.edu,0.3451,1300,27000,26542,0.6284,11,0.4564,0.847,-15965,-18013,-16966,3005,-7080,-18292,7523
268900,CUNY Hunter College,New York,NY,www.hunter.cuny.edu,0.3467,1160,10053,9116,0.3387,11,0.2954,0.5166,-15881,-7403,2066,15404,-14485,1562,-29908
160600,Brigham Young University-Hawaii,Laie,HI,www.byuh.edu/,0.3486,1110,8291,12569,1,31,0.3739,0.5484,-15782,-3614,235,-12899,-10875,-2372,-33800
213300,Brandeis University,Waltham,MA,www.brandeis.edu/,0.3522,1369,27000,14961,0.6506,13,0.4853,0.9085,-15594,-23242,-20509,2055,-5751,-5097,7523
386900,Mount Mary University,Milwaukee,WI,www.mtmary.edu/,0.3527,930,28134,7872,0.9155,11,0.4944,0.4943,-15568,10028,3351,-9282,-5333,2980,10028
349503,Johnson University Florida,Kissimmee,FL,www.johnsonu.edu/florida,0.3533,940,20199,3929,1,21,0.7,0.3529,-15537,9270,11496,-12899,4123,7472,-7498
268700,CUNY Brooklyn College,Brooklyn,NY,www.brooklyn.cuny.edu,0.3533,1085,10456,8934,0.4573,11,0.3485,0.5023,-15537,-1719,2890,10328,-12043,1770,-29018
153701,University of South Florida-St Petersburg,St. Petersburg,FL,www.usfsp.edu,0.3534,1162,19500,5642,0.9735,12,0.6751,0.3182,-15532,-7554,13495,-11764,2978,5520,-9042
278500,New York University,New York,NY,www.nyu.edu,0.3545,1344,23300,30237,0.4219,11,0.356,0.8301,-15474,-21347,-15993,11843,-11698,-22502,-649
113900,California State University-Long Beach,Long Beach,CA,www.csulb.edu,0.3546,1054,15446,7681,0.4885,11,0.1998,0.6517,-15469,630,-5716,8993,-18882,3197,-17996
1014900,Pepperdine University,Malibu,CA,www.pepperdine.edu/,0.3546,1234,26500,11639,0.5633,21,0.4496,0.8412,-15469,-13011,-16632,5792,-7393,-1312,6419
357600,Houston Baptist University,Houston,TX,www.hbu.edu,0.3573,1054,25000,6839,0.6261,11,0.2826,0.4458,-15328,630,6145,3104,-15074,4156,3106
195100,Alice Lloyd College,Pippa Passes,KY,www.alc.edu,0.3617,1008,16495,4412,0.9032,43,0.9696,0.5132,-15099,4116,2262,-8756,16523,6922,-15679
132000,University of California-Santa Barbara,Santa Barbara,CA,www.ucsb.edu,0.3634,1253,16800,11314,0.8347,22,0.3654,0.8129,-15010,-14451,-15002,-5824,-11266,-942,-15005
235800,Macalester College,Saint Paul,MN,www.macalester.edu,0.3635,1354,23747,19210,0.7787,11,0.6595,0.9017,-15005,-22105,-20117,-3427,2261,-9938,338
265400,New Mexico Institute of Mining and Technology,Socorro,NM,www.nmt.edu,0.3639,1193,16006,9260,0.6796,33,0.5587,0.4545,-14984,-9904,5644,814,-2375,1398,-16759
1205900,Trinity Bible College,Ellendale,ND,trinitybiblecollege.edu/,0.3645,946,27592,4851,0.8519,43,0.783,0.3871,-14953,8815,9526,-6560,7941,6421,8831
134800,Colorado School of Mines,Golden,CO,www.mines.edu,0.3647,1333,26849,14527,0.8646,21,0.7525,0.7613,-14942,-20513,-12030,-7104,6538,-4603,7190
223800,Andrews University,Berrien Springs,MI,www.andrews.edu,0.3688,1081,27750,12620,1,31,0.2732,0.5866,-14728,-1416,-1966,-12899,-15506,-2430,9180
159600,Toccoa Falls College,Toccoa Falls,GA,www.tfc.edu,0.3705,970,23750,4983,0.5506,41,0.7757,0.5226,-14639,6996,1721,6335,7605,6271,345
475900,CUNY York College,Jamaica,NY,www.york.cuny.edu,0.3713,900,9500,8699,0.3917,11,0.0663,0.29,-14598,12301,15120,13136,-25022,2037,-31129
269300,CUNY John Jay College of Criminal Justice,New York,NY,www.jjay.cuny.edu,0.3731,970,10092,8629,0.3514,11,0.2028,0.3857,-14504,6996,9607,14861,-18744,2117,-29822
281400,Skidmore College,Saratoga Springs,NY,www.skidmore.edu/,0.3734,1241,19500,19668,0.7806,23,0.6286,0.8681,-14488,-13541,-18182,-3509,839,-10460,-9042
133900,Corban University,Salem,OR,www.corban.edu,0.3738,1016,25000,5702,1,12,0.7868,0.5591,-14467,3510,-382,-12899,8116,5452,3106
131400,University of California-Irvine,Irvine,CA,www.uci.edu/,0.3742,1168,17000,18713,0.8147,12,0.1607,0.8649,-14446,-8009,-17997,-4968,-20681,-9372,-14564
280300,Rensselaer Polytechnic Institute,Troy,NY,www.rpi.edu,0.375,1372,27500,19069,0.8552,13,0.6172,0.8214,-14405,-23469,-15492,-6701,315,-9778,8628
314100,Wilberforce University,Wilberforce,OH,www.wilberforce.edu,0.3754,735,18786,5631,0.2973,41,0.0027,0.3005,-14384,24806,14515,17176,-27947,5533,-10619
302600,Central State University,Wilberforce,OH,www.centralstate.edu,0.3772,804,39793,6499,1,41,0.0139,0.2229,-14290,19576,18985,-12899,-27432,4544,35780
381000,Concord University,Athens,WV,www.concord.edu,0.3776,999,21200,5042,0.6667,32,0.8483,0.3371,-14269,4798,12407,1366,10944,6204,-5287
2280900,Mid-Atlantic Christian University,Elizabeth City,NC,www.macuniversity.edu,0.3789,983,33500,4572,1,32,0.6564,0.3611,-14201,6011,11024,-12899,2118,6739,21880
694100,Dallas Christian College,Dallas,TX,www.dallas.edu,0.3796,996,27121,5122,0.4231,21,0.4563,0.4,-14165,5026,8783,11792,-7085,6113,7791
268800,CUNY City College,New York,NY,www.ccny.cuny.edu,0.3806,1130,11551,13370,0.3997,11,0.1584,0.4415,-14112,-5129,6393,12793,-20786,-3284,-26599
350700,Memphis College of Art,Memphis,TN,www.mca.edu,0.3806,1025,33125,8870,0.3378,11,0.5781,0.5248,-14112,2828,1594,15443,-1483,1843,21052
364500,Texas Wesleyan University,Fort Worth,TX,www.txwes.edu,0.3806,984,25000,10124,0.5939,11,0.3085,0.403,-14112,5935,8610,4482,-13883,414,3106
153600,University of Miami,Coral Gables,FL,www.miami.edu/,0.3818,1330,21500,28897,0.7553,21,0.4257,0.8099,-14050,-20286,-14829,-2426,-8492,-20975,-4624
302400,Case Western Reserve University,Cleveland,OH,www.case.edu,0.3831,1375,24250,30078,0.8101,11,0.5319,0.8113,-13982,-23696,-14910,-4771,-3608,-22320,1449
380900,Bluefield State College,Bluefield,WV,www.bluefieldstate.edu,0.3834,927,19500,6763,1,32,0.8437,0.337,-13966,10255,12412,-12899,10733,4243,-9042
290800,Barton College,Wilson,NC,www.barton.edu/,0.3846,962,27000,7130,0.7117,31,0.5842,0.4372,-13904,7602,6640,-560,-1203,3825,7523
270400,The College of New Rochelle,New Rochelle,NY,www.cnr.edu,0.3853,958,22175,5731,0.2472,21,0.0595,0.2897,-13867,7906,15137,19320,-25335,5419,-3134
108600,University of Arkansas at Pine Bluff,Pine Bluff,AR,www.uapb.edu,0.3868,886,27728.5,7827,0.8194,13,0.0431,0.2721,-13789,13362,16151,-5169,-26089,3031,9133
321700,Reed College,Portland,OR,www.reed.edu,0.3873,1383,16000,22586,0.9689,11,0.591,0.7933,-13763,-24303,-13873,-11568,-890,-13785,-16772
243300,Rust College,Holly Springs,MS,www.rustcollege.edu,0.3885,760,25966,4765,0.9388,32,0.0042,0.1805,-13700,22911,21427,-10279,-27878,6519,5240
363000,Prairie View A & M University,Prairie View,TX,www.pvamu.edu,0.3913,850,28554,6662,0.8173,32,0.0437,0.3783,-13554,16090,10033,-5079,-26062,4358,10956
365800,The University of Texas at Austin,Austin,TX,www.utexas.edu,0.3966,1296,22159.5,16749,0.9071,11,0.4603,0.8064,-13277,-17709,-14628,-8923,-6901,-7134,-3168
2328900,Emmaus Bible College,Dubuque,IA,www.emmaus.edu,0.3976,1018,17000,7013,0.8,13,0.7454,0.8197,-13225,3359,-15394,-4339,6211,3958,-14564
407215,Northwood University-Florida,West Palm Beach,FL,www.northwood.edu,0.3979,919,22750,7663,1,13,0.1779,0.2778,-13210,10861,15822,-12899,-19889,3218,-1864
269000,CUNY Queens College,Queens,NY,www.qc.cuny.edu,0.3982,1090,11000,8503,0.4037,11,0.3189,0.5664,-13194,-2098,-802,12622,-13404,2261,-27816
138000,Western Connecticut State University,Danbury,CT,www.wcsu.edu,0.4003,981,24500,10530,0.898,13,0.6473,0.4289,-13084,6163,7118,-8533,1700,-49,2002
318500,University of Tulsa,Tulsa,OK,www.utulsa.edu,0.4026,1296,26000,15982,0.777,11,0.5495,0.7014,-12964,-17709,-8579,-3354,-2799,-6260,5315
243900,Tougaloo College,Tougaloo,MS,www.tougaloo.edu,0.403,864,32750,5457,0.7629,12,0.0045,0.5274,-12943,15029,1444,-2751,-27865,5731,20224
131300,University of California-Davis,Davis,CA,www.ucdavis.edu,0.4037,1226,14833,22820,0.852,23,0.2967,0.8321,-12907,-12405,-16108,-6564,-14425,-14051,-19350
323700,Bryn Mawr College,Bryn Mawr,PA,www.brynmawr.edu,0.4047,1313,25000,27370,0.7328,21,0.3638,0.8169,-12855,-18998,-15232,-1463,-11339,-19235,3106
200400,Dillard University,New Orleans,LA,www.dillard.edu,0.4059,886,35000,12378,0.5271,11,0.0033,0.3642,-12792,13362,10845,7341,-27920,-2154,25193
228800,Rochester College,Rochester Hills,MI,www.rc.edu,0.4059,972,23529,5084,0.8182,21,0.5277,0.4455,-12792,6845,6162,-5118,-3801,6156,-143
121500,La Sierra University,Riverside,CA,www.lasierra.edu,0.4064,934,27000,11966,0.871,11,0.148,0.4967,-12766,9724,3213,-7378,-21265,-1685,7523
256700,York College,York,NE,www.york.edu/,0.4076,970,26540,5525,0.6154,33,0.6667,0.3661,-12703,6996,10736,3562,2592,5654,6507
679100,SUNY at Purchase College,Purchase,NY,www.purchase.edu,0.4082,1095,22844,10439,0.3681,21,0.5549,0.6742,-12672,-2477,-7012,14146,-2550,55,-1656
380300,Whitman College,Walla Walla,WA,www.whitman.edu,0.4101,1323,17500,19220,0.7854,13,0.7304,0.8728,-12573,-19756,-18453,-3714,5522,-9950,-13459
187100,Iowa Wesleyan University,Mount Pleasant,IA,www.iw.edu,0.4107,990,25538,10604,1,33,0.5983,0.3221,-12542,5481,13271,-12899,-554,-133,4294
283800,Stony Brook University,Stony Brook,NY,www.stonybrook.edu,0.4134,1254,19351,20564,0.6131,21,0.3756,0.6857,-12401,-14527,-7675,3660,-10797,-11481,-9371
382600,West Virginia State University,Institute,WV,www.wvstateu.edu,0.4144,942,23250,7417,0.7117,22,0.5816,0.245,-12348,9118,17712,-560,-1322,3498,-759
395500,The University of West Florida,Pensacola,FL,uwf.edu,0.4167,1065,18750,6022,1,13,0.6625,0.5146,-12228,-203,2182,-12899,2399,5087,-10698
284600,State University of New York at New Paltz,New Paltz,NY,www.newpaltz.edu,0.4193,1122,19500,10550,0.5352,21,0.6504,0.7393,-12093,-4523,-10762,6994,1842,-72,-9042
124900,Occidental College,Los Angeles,CA,www.oxy.edu,0.4204,1300,23231.5,17405,0.7033,11,0.5111,0.8522,-12035,-18013,-17266,-200,-4565,-7882,-800
106100,Alaska Pacific University,Anchorage,AK,www.alaskapacific.edu,0.4207,1054,23250,11261,0.5942,11,0.5309,0.6,-12020,630,-2738,4469,-3654,-882,-759
293600,Johnson C Smith University,Charlotte,NC,www.jcsu.edu,0.4225,808,31142,7593,0.6236,11,0.0036,0.4368,-11926,19273,6663,3211,-27906,3297,16672
897600,Clayton  State University,Morrow,GA,www.clayton.edu,0.4245,930,26250,5578,0.6736,21,0.189,0.3298,-11821,10028,12827,1071,-19379,5593,5867
380600,Alderson Broaddus University,Philippi,WV,www.ab.edu/,0.4258,990,27000,5771,1,32,0.7354,0.4522,-11754,5481,5776,-12899,5752,5373,7523
314700,Bacone College,Muskogee,OK,www.bacone.edu,0.4296,845,26350,4240,0.3333,32,0.1917,0.1328,-11555,16469,24175,15635,-19255,7118,6088
298100,Western Carolina University,Cullowhee,NC,www.wcu.edu,0.4311,1035,21810,7845,0.7231,32,0.7965,0.5829,-11477,2070,-1753,-1048,8562,3010,-3940
206800,Coppin State University,Baltimore,MD,www.coppin.edu,0.4312,880,19500,8576,0.5091,11,0.0147,0.1754,-11472,13817,21721,8111,-27395,2177,-9042
