OPEID,INSTNM,CITY,STABBR,INSTURL,ADM_RATE,SAT_AVG,GRAD_DEBT_MDN,INEXPFTE,PFTFAC,LOCALE,UGDS_WHITE,C150_4,adm_rank,sat_avg_rank,grad_debt_rank,ugrad_white_rank,inexpfte_rank,pftfac_rank,c150_rank
291800,Davidson College,Davidson,NC,www.davidson.edu/,0.2167,1337,16385,19228,0.9624,21,0.6907,0.9271,37,61,94,704,85,261,27
158700,Paine College,Augusta,GA,www.paine.edu,0.2181,760,38185,13491,0.6883,12,0.0214,0.1777,38,1247,1246,31,193,656,1239
2053000,Liberty University,Lynchburg,VA,www.liberty.edu,0.2232,1040,23250,2350,0.6263,13,0.5121,0.5041,39,636,498,307,1249,779,729
234000,Carleton College,Northfield,MN,www.carleton.edu,0.2277,1408,17500,26922,0.908,32,0.6499,0.9303,40,32,128,585,40,323,24
289500,Vassar College,Poughkeepsie,NY,www.vassar.edu,0.2354,1403,16725,29919,0.8413,21,0.5885,0.9185,41,33,103,439,34,421,31
270800,Barnard College,New York,NY,www.barnard.edu,0.2377,1343,16725,21263,0.6331,11,0.5501,0.8885,42,58,103,360,68,759,56
376600,Virginia Union University,Richmond,VA,www.vuu.edu,0.2389,776,33450,6339,0.6173,12,0.0023,0.2551,43,1243,1234,6,1003,798,1210
3982300,Visible Music College,Memphis,TN,www.visible.edu,0.2398,1031,25625,20566,0.9444,11,0.6696,0.5,44,685,779,647,73,283,744
156600,Fort Valley State University,Fort Valley,GA,www.fvsu.edu,0.2419,873,36250,5226,0.9224,31,0.0373,0.3175,45,1192,1243,46,1155,310,1159
301100,Art Academy of Cincinnati,Cincinnati,OH,www.artacademy.edu,0.2434,961,27000,5809,0.1818,11,0.7761,0.617,46,1014,1151,951,1078,1237,437
324200,Carnegie Mellon University,Pittsburgh,PA,www.cmu.edu/,0.246,1436,25250,31807,0.9375,11,0.3538,0.883,47,23,747,158,26,291,59
327400,Haverford College,Haverford,PA,www.haverford.edu,0.2469,1422,14000,28622,0.8538,21,0.6436,0.9419,48,28,46,572,38,397,16
306500,Kenyon College,Gambier,OH,www.kenyon.edu/,0.2506,1332,19000,22319,0.9626,32,0.7371,0.8923,49,64,179,831,63,260,54
884800,Warner University,Lake Wales,FL,www.warner.edu,0.26,863,23250,3151,0.3386,41,0.3788,0.3767,50,1204,498,175,1243,1150,1051
270100,Colgate University,Hamilton,NY,www.colgate.edu,0.2624,1369,16114.5,22975,1,32,0.6723,0.924,51,50,86,656,55,190,29
212100,Babson College,Wellesley,MA,www.babson.edu,0.2631,1272,27000,14110,0.7192,21,0.3863,0.9028,52,98,1151,182,168,600,47
272800,Hamilton College,Clinton,NY,www.hamilton.edu,0.2635,1393,15300,30436,0.8941,41,0.6423,0.9111,53,37,66,569,30,338,37
3088800,Watkins College of Art Design & Film,Nashville,TN,www.watkins.edu,0.2636,1000,29125,10380,0.3393,11,0.6979,0.4,54,850,1199,725,376,1147,1006
156400,Emory University,Atlanta,GA,www.emory.edu,0.2682,1366,19000,40450,0.6659,21,0.4072,0.8892,55,51,179,197,15,700,55
329000,Lincoln University,Lincoln University,PA,www.lincoln.edu,0.2716,862,31326.5,8047,1,21,0.014,0.4146,56,1205,1222,20,709,190,973
727300,CUNY Bernard M Baruch College,New York,NY,www.baruch.cuny.edu,0.279,1235,11000,8733,0.4467,11,0.2503,0.656,57,127,23,112,574,1051,342
202900,Tulane University of Louisiana,New Orleans,LA,tulane.edu,0.2795,1342,27000,21627,0.5755,11,0.7138,0.8293,58,59,1151,773,66,870,89
186800,Grinnell College,Grinnell,IA,www.grinnell.edu,0.2801,1398,10876.5,23944,0.8402,33,0.5844,0.8939,59,35,19,434,52,423,51
203900,Colby College,Waterville,ME,www.colby.edu,0.2805,1333,19195.5,19918,0.8296,33,0.601,0.9046,60,63,185,470,80,435,43
710800,University of Puerto Rico-Rio Piedras,San Juan,PR,www.uprrp.edu,0.2817,1188,5500,12073,0.8747,11,0.0074,0.4698,61,181,3,16,262,362,831
117400,Scripps College,Claremont,CA,www.scrippscollege.edu,0.284,1360,13749.5,28832,0.7168,21,0.4906,0.8685,63,52,43,281,37,607,67
238300,Crown College,Saint Bonifacius,MN,www.crown.edu,0.284,1016,26259,3426,0.3056,41,0.7452,0.5714,63,757,870,857,1238,1175,543
297400,University of North Carolina at Chapel Hill,Chapel Hill,NC,www.unc.edu,0.285,1328,16149,25710,0.8499,13,0.6517,0.9026,64,67,89,593,46,408,48
702200,CUNY Lehman College,Bronx,NY,www.lehman.cuny.edu,0.2891,995,10000,9882,0.4649,11,0.0691,0.3708,65,874,15,60,432,1026,1063
374500,University of Virginia-Main Campus,Charlottesville,VA,www.virginia.edu/,0.29,1357,19633,16988,0.937,23,0.6117,0.9416,66,53,215,498,102,292,17
371400,Hampton University,Hampton,VA,www.hamptonu.edu,0.2906,999,27000,8563,1,12,0.0246,0.6647,67,855,1151,38,603,190,320
328400,Lafayette College,Easton,PA,https://www.lafayette.edu/,0.2975,1300,25185,21109,0.8526,21,0.6819,0.9033,68,83,737,681,69,401,45
169400,Chicago State University,Chicago,IL,www.csu.edu,0.2996,870,30269,15606,0.7487,11,0.0232,0.1915,69,1198,1205,34,123,551,1234
222400,Wellesley College,Wellesley,MA,www.wellesley.edu,0.3011,1390,9000,34705,0.8564,21,0.4153,0.9144,70,38,9,201,22,394,34
323800,Bucknell University,Lewisburg,PA,www.bucknell.edu,0.3072,1317,27000,20198,0.9766,32,0.7885,0.886,71,72,1151,994,78,233,58
114300,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,calpoly.edu,0.3089,1234,19166,9610,0.6649,23,0.5872,0.75,72,129,184,438,469,702,174
125200,Hope International University,Fullerton,CA,www.hiu.edu,0.31,896,26000,6137,0.8444,21,0.3799,0.4943,73,1169,849,179,1035,418,761
339600,Wilson College,Chambersburg,PA,www.wilson.edu,0.3128,976,27000,10092,0.94,13,0.6376,0.4138,74,945,1151,561,414,288,975
374400,University of Richmond,University of Richmond,VA,www.richmond.edu,0.318,1337,19935,16287,0.6634,12,0.5901,0.8426,75,61,220,446,111,705,79
219900,Northeastern University,Boston,MA,www.northeastern.edu,0.3222,1420,28501,15593,0.7385,11,0.4913,0.8162,76,29,1189,282,124,573,100
232500,University of Michigan-Ann Arbor,Ann Arbor,MI,www.umich.edu,0.3224,1380,20495.5,22728,0.8135,12,0.6196,0.9087,77,44,253,520,58,463,39
381900,Ohio Valley University,Vienna,WV,www.ovu.edu,0.3235,944,23250,5986,0.2558,13,0.6615,0.3465,78,1068,498,626,1062,1205,1105
340900,Rhode Island School of Design,Providence,RI,www.risd.edu,0.3259,1254,27000,23184,0.3348,12,0.3193,0.8716,79,107,1151,140,54,1158,66
308600,Oberlin College,Oberlin,OH,www.oberlin.edu,0.3272,1349,26000,28894,0.9122,31,0.6977,0.8781,80,55,849,724,36,321,61
370500,College of William and Mary,Williamsburg,VA,www.wm.edu,0.3302,1373,19500,13546,0.8231,23,0.5895,0.9044,81,47,208,445,190,442,44
342900,Columbia International University,Columbia,SC,www.ciu.edu,0.3322,1035,20750,6594,0.9231,12,0.721,0.6786,82,662,274,784,955,309,281
131700,University of California-San Diego,La Jolla,CA,www.ucsd.edu,0.3329,1313,19000,24195,0.8368,11,0.2247,0.8618,83,77,179,102,51,426,71
156900,Georgia Institute of Technology-Main Campus,Atlanta,GA,www.gatech.edu,0.3338,1400,24250,13216,0.9686,11,0.5308,0.8154,84,34,595,331,207,254,103
195500,Berea College,Berea,KY,www.berea.edu,0.3366,1125,6056,14851,0.8586,32,0.6278,0.6223,85,313,4,538,145,390,422
212800,Boston College,Chestnut Hill,MA,www.bc.edu,0.3391,1380,19000,20571,0.5956,13,0.6075,0.9131,86,44,179,489,72,836,35
328900,Lehigh University,Bethlehem,PA,www.lehigh.edu,0.3427,1326,25000,20469,0.8161,13,0.6736,0.8739,87,69,731,662,76,461,64
115100,San Diego State University,San Diego,CA,www.sdsu.edu,0.3448,1115,15998,6812,0.5229,11,0.3501,0.6599,88,334,81,156,909,940,334
213000,Boston University,Boston,MA,www.bu.edu,0.3451,1300,27000,26542,0.6284,11,0.4564,0.847,89,83,1151,250,43,772,77
268900,CUNY Hunter College,New York,NY,www.hunter.cuny.edu,0.3467,1160,10053,9116,0.3387,11,0.2954,0.5166,90,231,16,130,512,1149,698
160600,Brigham Young University-Hawaii,Laie,HI,www.byuh.edu/,0.3486,1110,8291,12569,1,31,0.3739,0.5484,91,351,8,171,242,190,604
213300,Brandeis University,Waltham,MA,www.brandeis.edu/,0.3522,1369,27000,14961,0.6506,13,0.4853,0.9085,92,50,1151,273,141,728,40
386900,Mount Mary University,Milwaukee,WI,www.mtmary.edu/,0.3527,930,28134,7872,0.9155,11,0.4944,0.4943,93,1109,1183,285,729,317,761
349503,Johnson University Florida,Kissimmee,FL,www.johnsonu.edu/florida,0.3533,940,20199,3929,1,21,0.7,0.3529,95,1082,240,731,1228,190,1097
268700,CUNY Brooklyn College,Brooklyn,NY,www.brooklyn.cuny.edu,0.3533,1085,10456,8934,0.4573,11,0.3485,0.5023,95,441,18,155,547,1034,735
153701,University of South Florida-St Petersburg,St. Petersburg,FL,www.usfsp.edu,0.3534,1162,19500,5642,0.9735,12,0.6751,0.3182,96,228,208,666,1103,236,1156
278500,New York University,New York,NY,www.nyu.edu,0.3545,1344,23300,30237,0.4219,11,0.356,0.8301,97,57,501,159,31,1074,88
113900,California State University-Long Beach,Long Beach,CA,www.csulb.edu,0.3546,1054,15446,7681,0.4885,11,0.1998,0.6517,99,556,67,93,764,995,350
1014900,Pepperdine University,Malibu,CA,www.pepperdine.edu/,0.3546,1234,26500,11639,0.5633,21,0.4496,0.8412,99,129,885,239,289,888,81
357600,Houston Baptist University,Houston,TX,www.hbu.edu,0.3573,1054,25000,6839,0.6261,11,0.2826,0.4458,100,556,731,125,903,780,899
195100,Alice Lloyd College,Pippa Passes,KY,www.alc.edu,0.3617,1008,16495,4412,0.9032,43,0.9696,0.5132,101,807,95,1250,1207,328,711
132000,University of California-Santa Barbara,Santa Barbara,CA,www.ucsb.edu,0.3634,1253,16800,11314,0.8347,22,0.3654,0.8129,102,109,104,166,302,429,106
235800,Macalester College,Saint Paul,MN,www.macalester.edu,0.3635,1354,23747,19210,0.7787,11,0.6595,0.9017,103,54,542,618,87,504,49
265400,New Mexico Institute of Mining and Technology,Socorro,NM,www.nmt.edu,0.3639,1193,16006,9260,0.6796,33,0.5587,0.4545,104,176,84,382,498,667,878
1205900,Trinity Bible College,Ellendale,ND,trinitybiblecollege.edu/,0.3645,946,27592,4851,0.8519,43,0.783,0.3871,105,1064,1166,977,1181,405,1031
134800,Colorado School of Mines,Golden,CO,www.mines.edu,0.3647,1333,26849,14527,0.8646,21,0.7525,0.7613,106,63,905,880,154,378,163
223800,Andrews University,Berrien Springs,MI,www.andrews.edu,0.3688,1081,27750,12620,1,31,0.2732,0.5866,107,454,1171,120,241,190,506
159600,Toccoa Falls College,Toccoa Falls,GA,www.tfc.edu,0.3705,970,23750,4983,0.5506,41,0.7757,0.5226,108,973,546,949,1174,902,685
475900,CUNY York College,Jamaica,NY,www.york.cuny.edu,0.3713,900,9500,8699,0.3917,11,0.0663,0.29,109,1162,12,58,582,1100,1184
269300,CUNY John Jay College of Criminal Justice,New York,NY,www.jjay.cuny.edu,0.3731,970,10092,8629,0.3514,11,0.2028,0.3857,110,973,17,96,594,1140,1035
281400,Skidmore College,Saratoga Springs,NY,www.skidmore.edu/,0.3734,1241,19500,19668,0.7806,23,0.6286,0.8681,111,120,208,540,82,503,68
133900,Corban University,Salem,OR,www.corban.edu,0.3738,1016,25000,5702,1,12,0.7868,0.5591,112,757,731,992,1089,190,569
131400,University of California-Irvine,Irvine,CA,www.uci.edu/,0.3742,1168,17000,18713,0.8147,12,0.1607,0.8649,113,213,112,78,92,462,70
280300,Rensselaer Polytechnic Institute,Troy,NY,www.rpi.edu,0.375,1372,27500,19069,0.8552,13,0.6172,0.8214,114,48,1164,512,88,396,94
314100,Wilberforce University,Wilberforce,OH,www.wilberforce.edu,0.3754,735,18786,5631,0.2973,41,0.0027,0.3005,115,1249,158,7,1104,1178,1178
302600,Central State University,Wilberforce,OH,www.centralstate.edu,0.3772,804,39793,6499,1,41,0.0139,0.2229,116,1238,1249,19,974,190,1221
381000,Concord University,Athens,WV,www.concord.edu,0.3776,999,21200,5042,0.6667,32,0.8483,0.3371,117,855,296,1171,1171,698,1120
2280900,Mid-Atlantic Christian University,Elizabeth City,NC,www.macuniversity.edu,0.3789,983,33500,4572,1,32,0.6564,0.3611,118,924,1236,607,1198,190,1079
694100,Dallas Christian College,Dallas,TX,www.dallas.edu,0.3796,996,27121,5122,0.4231,21,0.4563,0.4,119,868,1154,248,1164,1072,1006
268800,CUNY City College,New York,NY,www.ccny.cuny.edu,0.3806,1130,11551,13370,0.3997,11,0.1584,0.4415,122,291,24,76,199,1095,911
350700,Memphis College of Art,Memphis,TN,www.mca.edu,0.3806,1025,33125,8870,0.3378,11,0.5781,0.5248,122,728,1231,419,553,1152,677
364500,Texas Wesleyan University,Fort Worth,TX,www.txwes.edu,0.3806,984,25000,10124,0.5939,11,0.3085,0.403,122,921,731,137,409,841,1000
153600,University of Miami,Coral Gables,FL,www.miami.edu/,0.3818,1330,21500,28897,0.7553,21,0.4257,0.8099,123,66,350,214,35,540,110
302400,Case Western Reserve University,Cleveland,OH,www.case.edu,0.3831,1375,24250,30078,0.8101,11,0.5319,0.8113,124,46,595,334,33,467,109
380900,Bluefield State College,Bluefield,WV,www.bluefieldstate.edu,0.3834,927,19500,6763,1,32,0.8437,0.337,125,1115,208,1162,921,190,1122
290800,Barton College,Wilson,NC,www.barton.edu/,0.3846,962,27000,7130,0.7117,31,0.5842,0.4372,126,1011,1151,433,856,619,923
270400,The College of New Rochelle,New Rochelle,NY,www.cnr.edu,0.3853,958,22175,5731,0.2472,21,0.0595,0.2897,127,1025,388,56,1085,1209,1185
108600,University of Arkansas at Pine Bluff,Pine Bluff,AR,www.uapb.edu,0.3868,886,27728.5,7827,0.8194,13,0.0431,0.2721,128,1182,1168,50,739,450,1197
321700,Reed College,Portland,OR,www.reed.edu,0.3873,1383,16000,22586,0.9689,11,0.591,0.7933,129,40,83,448,60,251,132
243300,Rust College,Holly Springs,MS,www.rustcollege.edu,0.3885,760,25966,4765,0.9388,32,0.0042,0.1805,130,1247,799,12,1186,289,1238
363000,Prairie View A & M University,Prairie View,TX,www.pvamu.edu,0.3913,850,28554,6662,0.8173,32,0.0437,0.3783,131,1217,1191,51,938,456,1047
365800,The University of Texas at Austin,Austin,TX,www.utexas.edu,0.3966,1296,22159.5,16749,0.9071,11,0.4603,0.8064,132,87,387,256,106,325,115
2328900,Emmaus Bible College,Dubuque,IA,www.emmaus.edu,0.3976,1018,17000,7013,0.8,13,0.7454,0.8197,133,750,112,859,871,478,96
407215,Northwood University-Florida,West Palm Beach,FL,www.northwood.edu,0.3979,919,22750,7663,1,13,0.1779,0.2778,134,1129,445,84,767,190,1193
269000,CUNY Queens College,Queens,NY,www.qc.cuny.edu,0.3982,1090,11000,8503,0.4037,11,0.3189,0.5664,135,419,23,139,613,1089,551
138000,Western Connecticut State University,Danbury,CT,www.wcsu.edu,0.4003,981,24500,10530,0.898,13,0.6473,0.4289,136,931,617,581,364,334,949
318500,University of Tulsa,Tulsa,OK,www.utulsa.edu,0.4026,1296,26000,15982,0.777,11,0.5495,0.7014,137,87,849,355,116,509,241
243900,Tougaloo College,Tougaloo,MS,www.tougaloo.edu,0.403,864,32750,5457,0.7629,12,0.0045,0.5274,138,1203,1229,13,1127,526,669
131300,University of California-Davis,Davis,CA,www.ucdavis.edu,0.4037,1226,14833,22820,0.852,23,0.2967,0.8321,139,137,53,131,57,404,86
323700,Bryn Mawr College,Bryn Mawr,PA,www.brynmawr.edu,0.4047,1313,25000,27370,0.7328,21,0.3638,0.8169,140,77,731,164,39,582,98
200400,Dillard University,New Orleans,LA,www.dillard.edu,0.4059,886,35000,12378,0.5271,11,0.0033,0.3642,142,1182,1239,9,251,930,1072
228800,Rochester College,Rochester Hills,MI,www.rc.edu,0.4059,972,23529,5084,0.8182,21,0.5277,0.4455,142,953,529,328,1166,455,901
121500,La Sierra University,Riverside,CA,www.lasierra.edu,0.4064,934,27000,11966,0.871,11,0.148,0.4967,143,1096,1151,74,267,367,751
256700,York College,York,NE,www.york.edu/,0.4076,970,26540,5525,0.6154,33,0.6667,0.3661,144,973,887,642,1121,801,1069
679100,SUNY at Purchase College,Purchase,NY,www.purchase.edu,0.4082,1095,22844,10439,0.3681,21,0.5549,0.6742,145,402,447,374,373,1120,291
380300,Whitman College,Walla Walla,WA,www.whitman.edu,0.4101,1323,17500,19220,0.7854,13,0.7304,0.8728,146,71,128,811,86,497,65
187100,Iowa Wesleyan University,Mount Pleasant,IA,www.iw.edu,0.4107,990,25538,10604,1,33,0.5983,0.3221,147,901,776,466,352,190,1145
283800,Stony Brook University,Stony Brook,NY,www.stonybrook.edu,0.4134,1254,19351,20564,0.6131,21,0.3756,0.6857,148,107,188,173,74,804,270
382600,West Virginia State University,Institute,WV,www.wvstateu.edu,0.4144,942,23250,7417,0.7117,22,0.5816,0.245,149,1073,498,426,811,619,1217
395500,The University of West Florida,Pensacola,FL,uwf.edu,0.4167,1065,18750,6022,1,13,0.6625,0.5146,150,513,157,630,1053,190,705
284600,State University of New York at New Paltz,New Paltz,NY,www.newpaltz.edu,0.4193,1122,19500,10550,0.5352,21,0.6504,0.7393,151,318,208,588,360,923,184
124900,Occidental College,Los Angeles,CA,www.oxy.edu,0.4204,1300,23231.5,17405,0.7033,11,0.5111,0.8522,152,83,482,305,99,633,75
106100,Alaska Pacific University,Anchorage,AK,www.alaskapacific.edu,0.4207,1054,23250,11261,0.5942,11,0.5309,0.6,153,556,498,332,307,840,468
293600,Johnson C Smith University,Charlotte,NC,www.jcsu.edu,0.4225,808,31142,7593,0.6236,11,0.0036,0.4368,154,1235,1219,11,781,783,926
897600,Clayton  State University,Morrow,GA,www.clayton.edu,0.4245,930,26250,5578,0.6736,21,0.189,0.3298,155,1109,869,88,1113,684,1129
380600,Alderson Broaddus University,Philippi,WV,www.ab.edu/,0.4258,990,27000,5771,1,32,0.7354,0.4522,156,901,1151,826,1081,190,883
314700,Bacone College,Muskogee,OK,www.bacone.edu,0.4296,845,26350,4240,0.3333,32,0.1917,0.1328,157,1221,875,89,1219,1159,1247
298100,Western Carolina University,Cullowhee,NC,www.wcu.edu,0.4311,1035,21810,7845,0.7231,32,0.7965,0.5829,158,662,364,1020,736,596,519
206800,Coppin State University,Baltimore,MD,www.coppin.edu,0.4312,880,19500,8576,0.5091,11,0.0147,0.1754,159,1187,208,24,601,968,1242
398100,University of North Carolina School of the Arts,Winston-Salem,NC,www.uncsa.edu/,0.432,1116,26922.5,22850,0.7611,12,0.7289,0.5934,160,332,910,805,56,533,488
295000,North Carolina Central University,Durham,NC,www.nccu.edu,0.4322,886,31000,10349,0.7201,12,0.0623,0.4678,161,1182,1218,57,380,599,838
349900,Lane College,Jackson,TN,www.lanecollege.edu,0.4327,762,33170,4728,0.9545,13,0,0.3189,162,1245,1232,2,1189,271,1152
201500,University of New Orleans,New Orleans,LA,www.uno.edu,0.4357,1082,16989,8102,0.7423,11,0.5531,0.3372,164,448,108,369,700,563,1119
260900,Rowan University,Glassboro,NJ,www.rowan.edu,0.4357,1103,21500,16320,0.3008,21,0.7123,0.667,164,382,350,769,110,1176,312
142800,Delaware State University,Dover,DE,www.desu.edu,0.4374,894,28500,11129,0.6088,13,0.1125,0.4258,165,1172,1188,69,312,808,957
342400,Claflin University,Orangeburg,SC,www.claflin.edu,0.4377,806,29600,7699,0.7093,32,0.0146,0.4924,166,1237,1202,22,759,624,765
263900,Stevens Institute of Technology,Hoboken,NJ,www.stevens.edu,0.4378,1346,27532.5,13732,1,21,0.6397,0.821,167,56,1165,564,183,190,95
144400,George Washington University,Washington,DC,www.gwu.edu,0.4379,1297,25350,20938,0.4827,11,0.5835,0.7938,168,84,749,432,71,1003,130
152100,Southeastern University,Lakeland,FL,www.seu.edu/,0.4394,965,22500,4482,0.9928,13,0.6056,0.4247,169,998,427,483,1203,198,961
200600,Grambling State University,Grambling,LA,www.gram.edu,0.4395,868,37524,5199,0.9237,32,0.0148,0.3017,170,1199,1244,25,1157,307,1175
283600,SUNY at Binghamton,Vestal,NY,www.binghamton.edu,0.4406,1287,20000,11395,0.6888,22,0.5498,0.8093,171,91,235,357,299,654,111
104700,Troy University,Troy,AL,www.troy.edu,0.4414,1050,25000,5643,0.385,41,0.5132,0.3498,172,594,731,310,1102,1108,1102
194500,Sterling College,Sterling,KS,www.sterling.edu,0.4437,978,25500,4448,0.5909,42,0.689,0.3933,173,939,773,699,1204,849,1020
375300,Virginia Military Institute,Lexington,VA,www.vmi.edu,0.444,1162,24100,12896,0.9848,32,0.8141,0.7084,174,228,578,1074,225,214,227
113700,California State University-Fullerton,Fullerton,CA,www.fullerton.edu,0.4447,1021,14944,7739,0.4618,21,0.2397,0.5572,175,740,55,108,751,1030,572
254700,Grace University,Omaha,NE,https://www.graceuniversity.edu/,0.4462,1064,17625,10440,0.4366,11,0.7261,0.5484,176,519,130,797,372,1060,604
148800,Florida Southern College,Lakeland,FL,www.flsouthern.edu,0.4481,1147,24873,6879,1,13,0.7232,0.6499,177,253,633,793,893,190,355
206700,Washington Adventist University,Takoma Park,MD,www.wau.edu,0.4492,854,27000,10322,0.2827,21,0.0987,0.398,178,1211,1151,66,383,1187,1012
123600,Menlo College,Atherton,CA,www.menlo.edu,0.4506,995,22746.5,7655,0.2772,21,0.3354,0.4331,179,874,439,148,769,1189,934
396900,University of Minnesota-Twin Cities,Minneapolis,MN,www1.umn.edu/twincities/index.php,0.4535,1271,20500,13558,0.8302,11,0.7037,0.784,180,99,268,741,189,434,140
266300,University of New Mexico-Main Campus,Albuquerque,NM,www.unm.edu,0.4538,1060,19576,11745,0.7115,11,0.3621,0.4778,181,528,211,163,277,621,809
